text,condition,record_type,Care_Profile
Hyperthyroidism diagnosed in older cat with weight loss and vomiting.,Digestive Issues,Clinical Notes,hyperthyroidism diagnosed in older cat with weight loss and vomiting digestive issues clinical notes
Guinea pig is scratching itself raw.,Parasites,Owner Observation,guinea pig is scratching itself raw parasites owner observation
Rabbit has a broken leg after an accident.,Mobility Problems,Owner Observation,rabbit has a broken leg after an accident mobility problems owner observation
Cat has scaly patches on her ear tips.,Skin Irritations,Owner Observation,cat has scaly patches on her ear tips skin irritations owner observation
My dog has hip dysplasia.,Mobility Problems,Owner Observation,my dog has hip dysplasia mobility problems owner observation
"Myiasis present; clip, clean wound, manually remove all visible larvae.",Parasites,Clinical Notes,myiasis present clip clean wound manually remove all visible larvae parasites clinical notes
"Rabbit presents with head tilt, nystagmus, hind limb paresis. Serology for E. cuniculi recommended. Start fenbendazole empirically.",Mobility Problems,Clinical Notes,rabbit presents with head tilt nystagmus hind limb paresis serology for e cuniculi recommended start fenbendazole empirically mobility problems clinical notes
Puppy has redness and irritation in his skin folds.,Skin Irritations,Owner Observation,puppy has redness and irritation in his skin folds skin irritations owner observation
Dog's ear hematoma was drained but filled right back up.,Ear Infections,Owner Observation,dogs ear hematoma was drained but filled right back up ear infections owner observation
"My cat vomited, then had diarrhea, now just hiding.",Digestive Issues,Owner Observation,my cat vomited then had diarrhea now just hiding digestive issues owner observation
Cat vomits immediately after drinking water.,Digestive Issues,Owner Observation,cat vomits immediately after drinking water digestive issues owner observation
Dog has developed bald patches on his face and legs.,Parasites,Owner Observation,dog has developed bald patches on his face and legs parasites owner observation
"Poor coat quality, excessive scaling (seborrhea sicca); evaluate diet, check thyroid.",Skin Irritations,Clinical Notes,poor coat quality excessive scaling seborrhea sicca evaluate diet check thyroid skin irritations clinical notes
"My dog has crusty ear edges and is losing hair there, very itchy.",Parasites,Owner Observation,my dog has crusty ear edges and is losing hair there very itchy parasites owner observation
"The dog's armpits are dark, thickened, and itchy.",Skin Irritations,Owner Observation,the dogs armpits are dark thickened and itchy skin irritations owner observation
"Bacterial culture grew Staphylococcus pseudintermedius, sensitive to clindamycin.",Skin Irritations,Clinical Notes,bacterial culture grew staphylococcus pseudintermedius sensitive to clindamycin skin irritations clinical notes
"Rule out toxin ingestion (plants, chemicals, medications).",Digestive Issues,Clinical Notes,rule out toxin ingestion plants chemicals medications digestive issues clinical notes
"Found a long, flat, white worm in my dog's fresh stool.",Parasites,Owner Observation,found a long flat white worm in my dogs fresh stool parasites owner observation
"Provide critical care feeding (Oxbow Critical Care), SQ fluids, analgesia (meloxicam), pro-motility agent (cisapride) for rabbit GI stasis.",Digestive Issues,Clinical Notes,provide critical care feeding oxbow critical care sq fluids analgesia meloxicam promotility agent cisapride for rabbit gi stasis digestive issues clinical notes
My cat has inflamed nail beds.,Skin Irritations,Owner Observation,my cat has inflamed nail beds skin irritations owner observation
My puppy seems to get an upset stomach from car rides.,Digestive Issues,Owner Observation,my puppy seems to get an upset stomach from car rides digestive issues owner observation
My dog has thickened skin folds around his muzzle that smell bad.,Skin Irritations,Owner Observation,my dog has thickened skin folds around his muzzle that smell bad skin irritations owner observation
Advise monthly heartworm prevention year-round.,Parasites,Clinical Notes,advise monthly heartworm prevention yearround parasites clinical notes
My rabbit's dewlap is constantly wet and the skin underneath is red.,Skin Irritations,Owner Observation,my rabbits dewlap is constantly wet and the skin underneath is red skin irritations owner observation
Puppy has diarrhea after switching foods too quickly.,Digestive Issues,Owner Observation,puppy has diarrhea after switching foods too quickly digestive issues owner observation
My dog has a skin infection secondary to flea bites.,Parasites,Owner Observation,my dog has a skin infection secondary to flea bites parasites owner observation
Color dilution alopecia present in blue Doberman; manage secondary pyoderma.,Skin Irritations,Clinical Notes,color dilution alopecia present in blue doberman manage secondary pyoderma skin irritations clinical notes
My cockatiel is listless and has abnormal droppings.,Parasites,Owner Observation,my cockatiel is listless and has abnormal droppings parasites owner observation
Re-evaluate efficacy and adjust dosage of pain medications at each follow-up.,Mobility Problems,Clinical Notes,reevaluate efficacy and adjust dosage of pain medications at each followup mobility problems clinical notes
Prescribe ronidazole for suspected Tritrichomonas foetus infection in feline.,Parasites,Clinical Notes,prescribe ronidazole for suspected tritrichomonas foetus infection in feline parasites clinical notes
My cat's hearing seems diminished.,Ear Infections,Owner Observation,my cats hearing seems diminished ear infections owner observation
"Ferret has pale gums, possibly flea-induced anemia.",Parasites,Owner Observation,ferret has pale gums possibly fleainduced anemia parasites owner observation
Cat vomited 5 times in the past few hours.,Digestive Issues,Owner Observation,cat vomited times in the past few hours digestive issues owner observation
Treat generalized demodicosis with isoxazoline or high-dose ivermectin/moxidectin protocols.,Parasites,Clinical Notes,treat generalized demodicosis with isoxazoline or highdose ivermectinmoxidectin protocols parasites clinical notes
The ear canal seems narrowed and swollen shut.,Ear Infections,Owner Observation,the ear canal seems narrowed and swollen shut ear infections owner observation
My cat vomited what looked like a roundworm.,Digestive Issues,Owner Observation,my cat vomited what looked like a roundworm digestive issues owner observation
Cat has nerve damage affecting her leg.,Mobility Problems,Owner Observation,cat has nerve damage affecting her leg mobility problems owner observation
Long-term maintenance therapy with weekly ear cleaner/medication may be required.,Ear Infections,Clinical Notes,longterm maintenance therapy with weekly ear cleanermedication may be required ear infections clinical notes
"Fecal score: 6/7 (soft, unformed).",Digestive Issues,Clinical Notes,fecal score soft unformed digestive issues clinical notes
Recommend probiotics (FortiFlora) to support gut health.,Digestive Issues,Clinical Notes,recommend probiotics fortiflora to support gut health digestive issues clinical notes
Skin scrape positive for Sarcoptes scabiei mites; zoonotic potential discussed.,Parasites,Clinical Notes,skin scrape positive for sarcoptes scabiei mites zoonotic potential discussed parasites clinical notes
"Ferret has dark, waxy debris in ears.",Ear Infections,Owner Observation,ferret has dark waxy debris in ears ear infections owner observation
"Rule out parasitic causes (Demodex, Sarcoptes, Cheyletiella) with appropriate diagnostics.",Skin Irritations,Clinical Notes,rule out parasitic causes demodex sarcoptes cheyletiella with appropriate diagnostics skin irritations clinical notes
Motility disorder suspected; consider trial with cisapride.,Digestive Issues,Clinical Notes,motility disorder suspected consider trial with cisapride digestive issues clinical notes
Ferret is tilting its head.,Ear Infections,Owner Observation,ferret is tilting its head ear infections owner observation
CSF tap performed; analysis pending.,Mobility Problems,Clinical Notes,csf tap performed analysis pending mobility problems clinical notes
"My dog's skin has a generally unpleasant, strong odor.",Skin Irritations,Owner Observation,my dogs skin has a generally unpleasant strong odor skin irritations owner observation
My dog has water trapped in his ear after a bath.,Ear Infections,Owner Observation,my dog has water trapped in his ear after a bath ear infections owner observation
Knemidokoptes pilae (scaly face/leg mite) diagnosed in budgerigar. Treat with topical or injectable ivermectin.,Parasites,Clinical Notes,knemidokoptes pilae scaly faceleg mite diagnosed in budgerigar treat with topical or injectable ivermectin parasites clinical notes
Administer opioid analgesic (methadone) for severe abdominal pain.,Digestive Issues,Clinical Notes,administer opioid analgesic methadone for severe abdominal pain digestive issues clinical notes
"Seborrhea sicca (dry scaling) generalized over trunk; evaluate diet, thyroid function, potential allergies.",Skin Irritations,Clinical Notes,seborrhea sicca dry scaling generalized over trunk evaluate diet thyroid function potential allergies skin irritations clinical notes
Auscultation reveals decreased borborygmi; suggestive of ileus.,Digestive Issues,Clinical Notes,auscultation reveals decreased borborygmi suggestive of ileus digestive issues clinical notes
Radiographs show mixed lytic/proliferative lesion in proximal humerus. Differentials include primary bone tumor (OSA) vs. metastatic condition vs. fungal osteomyelitis.,Mobility Problems,Clinical Notes,radiographs show mixed lyticproliferative lesion in proximal humerus differentials include primary bone tumor osa vs metastatic condition vs fungal osteomyelitis mobility problems clinical notes
Excoriations on tail; rule out flea hypersensitivity.,Skin Irritations,Clinical Notes,excoriations on tail rule out flea hypersensitivity skin irritations clinical notes
"Kitten failed to respond to initial dewormer, suspecting resistant strain or different parasite.",Parasites,Owner Observation,kitten failed to respond to initial dewormer suspecting resistant strain or different parasite parasites owner observation
Cytauxzoon felis identified on blood smear; grave prognosis.,Parasites,Clinical Notes,cytauxzoon felis identified on blood smear grave prognosis parasites clinical notes
"Tick-borne condition panel (e.g., 4Dx Snap test) positive for Ehrlichia/Anaplasma/Lyme.",Parasites,Clinical Notes,tickborne condition panel eg dx snap test positive for ehrlichiaanaplasmalyme parasites clinical notes
Plasma cell pododermatitis ('pillow foot') in feline patient; consider doxycycline trial.,Skin Irritations,Clinical Notes,plasma cell pododermatitis pillow foot in feline patient consider doxycycline trial skin irritations clinical notes
Ixodes scapularis tick removed; advise monitoring for signs of Lyme condition.,Parasites,Clinical Notes,ixodes scapularis tick removed advise monitoring for signs of lyme condition parasites clinical notes
My dog has persistent itching despite flea treatment.,Skin Irritations,Owner Observation,my dog has persistent itching despite flea treatment skin irritations owner observation
Rabbit is scratching vigorously at the base of its ears.,Ear Infections,Owner Observation,rabbit is scratching vigorously at the base of its ears ear infections owner observation
Cat has lost hair around the outside of her ears from scratching.,Ear Infections,Owner Observation,cat has lost hair around the outside of her ears from scratching ear infections owner observation
Monitor body weight and body condition score.,Digestive Issues,Clinical Notes,monitor body weight and body condition score digestive issues clinical notes
Guinea pig has sores on the bottom of its feet (bumblefoot).,Skin Irritations,Owner Observation,guinea pig has sores on the bottom of its feet bumblefoot skin irritations owner observation
Treat secondary pyoderma before pursuing allergy diagnostics.,Skin Irritations,Clinical Notes,treat secondary pyoderma before pursuing allergy diagnostics skin irritations clinical notes
My guinea pig has developed scaly patches around its eyes.,Skin Irritations,Owner Observation,my guinea pig has developed scaly patches around its eyes skin irritations owner observation
"My dog ate greasy leftovers, now has painful belly and vomiting.",Digestive Issues,Owner Observation,my dog ate greasy leftovers now has painful belly and vomiting digestive issues owner observation
"Dog's ears look greasy, and the fur below them is stained and sticky.",Ear Infections,Owner Observation,dogs ears look greasy and the fur below them is stained and sticky ear infections owner observation
Hypertrophic osteodystrophy (HOD) suspected; radiographs show characteristic 'double physeal line'. Supportive care/pain management.,Mobility Problems,Clinical Notes,hypertrophic osteodystrophy hod suspected radiographs show characteristic double physeal line supportive carepain management mobility problems clinical notes
Hamster has hair loss and redness on its underside.,Skin Irritations,Owner Observation,hamster has hair loss and redness on its underside skin irritations owner observation
Ferret's ears seem painful to touch.,Ear Infections,Owner Observation,ferrets ears seem painful to touch ear infections owner observation
Heartworm antigen test positive; stage condition and plan treatment.,Parasites,Clinical Notes,heartworm antigen test positive stage condition and plan treatment parasites clinical notes
Heartworm antigen test negative. Microfilaria test negative.,Parasites,Clinical Notes,heartworm antigen test negative microfilaria test negative parasites clinical notes
My dog's ear infection requires long-term management.,Ear Infections,Owner Observation,my dogs ear infection requires longterm management ear infections owner observation
Addison's condition (hypoadrenocorticism) can present with waxing/waning GI signs.,Digestive Issues,Clinical Notes,addisons condition hypoadrenocorticism can present with waxingwaning gi signs digestive issues clinical notes
Cat has stopped perching in high places.,Mobility Problems,Owner Observation,cat has stopped perching in high places mobility problems owner observation
"Discuss importance of addressing primary factors (allergies, conformation) for long-term control.",Ear Infections,Clinical Notes,discuss importance of addressing primary factors allergies conformation for longterm control ear infections clinical notes
Rule out hypothyroidism as cause of dry skin and alopecia.,Skin Irritations,Clinical Notes,rule out hypothyroidism as cause of dry skin and alopecia skin irritations clinical notes
Rabbit has hair loss and scaling around the eyes.,Skin Irritations,Owner Observation,rabbit has hair loss and scaling around the eyes skin irritations owner observation
"Cat's claws are very long, maybe it hurts to use the scratching post.",Mobility Problems,Owner Observation,cats claws are very long maybe it hurts to use the scratching post mobility problems owner observation
"Gait analysis performed: observe walk, trot, turning, stairs.",Mobility Problems,Clinical Notes,gait analysis performed observe walk trot turning stairs mobility problems clinical notes
"Schedule recheck appointment appropriate for condition severity (e.g., 1-2 weeks for active infection, longer for chronic management).",Ear Infections,Clinical Notes,schedule recheck appointment appropriate for condition severity eg weeks for active infection longer for chronic management ear infections clinical notes
My dog is eating grass obsessively and then vomiting foam.,Digestive Issues,Owner Observation,my dog is eating grass obsessively and then vomiting foam digestive issues owner observation
My guinea pig has bald spots appearing behind its ears.,Skin Irritations,Owner Observation,my guinea pig has bald spots appearing behind its ears skin irritations owner observation
Monitor for decubital ulcers in recumbent patients.,Mobility Problems,Clinical Notes,monitor for decubital ulcers in recumbent patients mobility problems clinical notes
Cat cries out in pain when yawning or eating.,Ear Infections,Owner Observation,cat cries out in pain when yawning or eating ear infections owner observation
"Document lameness score (e.g., 0-5 scale) and character (weight-bearing, non-weight-bearing, intermittent).",Mobility Problems,Clinical Notes,document lameness score eg scale and character weightbearing nonweightbearing intermittent mobility problems clinical notes
Contact dermatitis suspected on sparsely haired ventral abdomen.,Skin Irritations,Clinical Notes,contact dermatitis suspected on sparsely haired ventral abdomen skin irritations clinical notes
My dog's abdomen became suddenly taut and enlarged.,Digestive Issues,Owner Observation,my dogs abdomen became suddenly taut and enlarged digestive issues owner observation
Cat struggles to climb onto the sofa.,Mobility Problems,Owner Observation,cat struggles to climb onto the sofa mobility problems owner observation
My hamster has diarrhea and isn't acting like himself.,Digestive Issues,Owner Observation,my hamster has diarrhea and isnt acting like himself digestive issues owner observation
Cat has crusty sores on the edges of her ear flaps.,Ear Infections,Owner Observation,cat has crusty sores on the edges of her ear flaps ear infections owner observation
Miliary dermatitis pattern observed in feline patient; consider flea allergy vs. food allergy.,Skin Irritations,Clinical Notes,miliary dermatitis pattern observed in feline patient consider flea allergy vs food allergy skin irritations clinical notes
My dog yelps when jumping off the couch.,Mobility Problems,Owner Observation,my dog yelps when jumping off the couch mobility problems owner observation
Cat keeps rubbing her head/ears against the furniture.,Ear Infections,Owner Observation,cat keeps rubbing her headears against the furniture ear infections owner observation
"Diagnosed hyperthyroidism (elevated T4) in cat with weight loss, polyphagia, vomiting.",Digestive Issues,Clinical Notes,diagnosed hyperthyroidism elevated t in cat with weight loss polyphagia vomiting digestive issues clinical notes
Administer nitenpyram (Capstar) orally for rapid kill of adult fleas.,Parasites,Clinical Notes,administer nitenpyram capstar orally for rapid kill of adult fleas parasites clinical notes
"Consider fecal PCR panel for comprehensive parasite screening, especially in cases of chronic diarrhea.",Parasites,Clinical Notes,consider fecal pcr panel for comprehensive parasite screening especially in cases of chronic diarrhea parasites clinical notes
Cat is losing weight but eating more than usual.,Digestive Issues,Owner Observation,cat is losing weight but eating more than usual digestive issues owner observation
Assess for potential medication side effects causing GI upset.,Digestive Issues,Clinical Notes,assess for potential medication side effects causing gi upset digestive issues clinical notes
Consider low-level laser therapy (LLLT) as adjunctive treatment for inflammation and pain.,Ear Infections,Clinical Notes,consider lowlevel laser therapy lllt as adjunctive treatment for inflammation and pain ear infections clinical notes
"Dog has bumps and scabs, vet suspected flea allergy dermatitis.",Parasites,Owner Observation,dog has bumps and scabs vet suspected flea allergy dermatitis parasites owner observation
My cat's ear mites seem resistant to the usual treatments.,Parasites,Owner Observation,my cats ear mites seem resistant to the usual treatments parasites owner observation
"Dog has flea allergy, gets severe reaction from one bite.",Parasites,Owner Observation,dog has flea allergy gets severe reaction from one bite parasites owner observation
My cat is drooling excessively and pawing at her mouth.,Digestive Issues,Owner Observation,my cat is drooling excessively and pawing at her mouth digestive issues owner observation
Provide estimate for diagnostics and potential treatments.,Digestive Issues,Clinical Notes,provide estimate for diagnostics and potential treatments digestive issues clinical notes
"If culture shows resistant bacteria, consider compounded topical formulations or systemic therapy based on MIC.",Ear Infections,Clinical Notes,if culture shows resistant bacteria consider compounded topical formulations or systemic therapy based on mic ear infections clinical notes
My older dog seems painful and slow when getting up after naps.,Mobility Problems,Owner Observation,my older dog seems painful and slow when getting up after naps mobility problems owner observation
"My kitten has a potbelly and isn't growing well, the breeder said she might have worms.",Parasites,Owner Observation,my kitten has a potbelly and isnt growing well the breeder said she might have worms parasites owner observation
Diarrhea with weight loss; check thyroid levels.,Digestive Issues,Clinical Notes,diarrhea with weight loss check thyroid levels digestive issues clinical notes
"My cat brought in a mouse, now I'm worried about worms.",Parasites,Owner Observation,my cat brought in a mouse now im worried about worms parasites owner observation
My dog has muscle atrophy.,Mobility Problems,Owner Observation,my dog has muscle atrophy mobility problems owner observation
Dermatophytosis confirmed by fungal culture; initiate itraconazole.,Skin Irritations,Clinical Notes,dermatophytosis confirmed by fungal culture initiate itraconazole skin irritations clinical notes
Pain on tail jack/lumbosacral palpation.,Mobility Problems,Clinical Notes,pain on tail jacklumbosacral palpation mobility problems clinical notes
Guinea pig's back legs seem paralyzed.,Mobility Problems,Owner Observation,guinea pigs back legs seem paralyzed mobility problems owner observation
"Cat has greasy, matted fur along its back.",Skin Irritations,Owner Observation,cat has greasy matted fur along its back skin irritations owner observation
"My ferret is scratching and has hair loss, especially around the shoulders.",Parasites,Owner Observation,my ferret is scratching and has hair loss especially around the shoulders parasites owner observation
"Note patient breed and conformational predisposition (e.g., stenotic canals in Shar Peis, pendulous pinnae in Spaniels).",Ear Infections,Clinical Notes,note patient breed and conformational predisposition eg stenotic canals in shar peis pendulous pinnae in spaniels ear infections clinical notes
My dog's front leg seems to bow outwards at the wrist.,Mobility Problems,Owner Observation,my dogs front leg seems to bow outwards at the wrist mobility problems owner observation
Dog presented with severe flea infestation and secondary anemia (PCV 22%).,Parasites,Clinical Notes,dog presented with severe flea infestation and secondary anemia pcv parasites clinical notes
"Recommend year-round broad-spectrum parasite prevention (heartworm, intestinal parasites, fleas, ticks).",Parasites,Clinical Notes,recommend yearround broadspectrum parasite prevention heartworm intestinal parasites fleas ticks parasites clinical notes
Color dilution alopecia suspected in blue-coated dog with poor coat quality and folliculitis.,Skin Irritations,Clinical Notes,color dilution alopecia suspected in bluecoated dog with poor coat quality and folliculitis skin irritations clinical notes
Prescribe fluralaner (Bravecto) for 12-week flea and tick control.,Parasites,Clinical Notes,prescribe fluralaner bravecto for week flea and tick control parasites clinical notes
"Radiographs reveal osteophytes, sclerosis, and possible UAP/FCP in left elbow.",Mobility Problems,Clinical Notes,radiographs reveal osteophytes sclerosis and possible uapfcp in left elbow mobility problems clinical notes
Dog has redness and swelling spreading onto the outside of the ear flap.,Ear Infections,Owner Observation,dog has redness and swelling spreading onto the outside of the ear flap ear infections owner observation
My parrot is picking at himself constantly and seems agitated.,Parasites,Owner Observation,my parrot is picking at himself constantly and seems agitated parasites owner observation
Hamster is dehydrated (skin stays tented when pinched).,Digestive Issues,Owner Observation,hamster is dehydrated skin stays tented when pinched digestive issues owner observation
Baermann fecal examination performed to detect lungworm larvae.,Parasites,Clinical Notes,baermann fecal examination performed to detect lungworm larvae parasites clinical notes
My dog's breed (Cocker Spaniel) is prone to ear infections.,Ear Infections,Owner Observation,my dogs breed cocker spaniel is prone to ear infections ear infections owner observation
Strict activity restriction post-operatively.,Mobility Problems,Clinical Notes,strict activity restriction postoperatively mobility problems clinical notes
Dog has had pudding-like stool for three days straight.,Digestive Issues,Owner Observation,dog has had puddinglike stool for three days straight digestive issues owner observation
Dog likely has 'swimmer's ear' after dock diving.,Ear Infections,Owner Observation,dog likely has swimmers ear after dock diving ear infections owner observation
Rabbit has stopped hopping normally.,Mobility Problems,Owner Observation,rabbit has stopped hopping normally mobility problems owner observation
"Dog keeps stretching into a 'play bow' position, seems painful.",Digestive Issues,Owner Observation,dog keeps stretching into a play bow position seems painful digestive issues owner observation
Recommend prophylactic ear cleaning with drying agent after swimming/bathing.,Ear Infections,Clinical Notes,recommend prophylactic ear cleaning with drying agent after swimmingbathing ear infections clinical notes
"Recommend using Tris-EDTA containing ear cleaner prior to antibiotic application, especially for Pseudomonas.",Ear Infections,Clinical Notes,recommend using trisedta containing ear cleaner prior to antibiotic application especially for pseudomonas ear infections clinical notes
Contrast radiography (barium series) performed; delayed transit time noted.,Digestive Issues,Clinical Notes,contrast radiography barium series performed delayed transit time noted digestive issues clinical notes
Guinea pig's feet are red and swollen.,Skin Irritations,Owner Observation,guinea pigs feet are red and swollen skin irritations owner observation
My cat's ear infection isn't responding to the current antibiotic drops.,Ear Infections,Owner Observation,my cats ear infection isnt responding to the current antibiotic drops ear infections owner observation
Prescribe sulfadimethoxine (Albon) for Coccidia treatment.,Parasites,Clinical Notes,prescribe sulfadimethoxine albon for coccidia treatment parasites clinical notes
Consider referral to dermatologist for allergy workup.,Ear Infections,Clinical Notes,consider referral to dermatologist for allergy workup ear infections clinical notes
Administer dewormer according to manufacturer's instructions.,Parasites,Clinical Notes,administer dewormer according to manufacturers instructions parasites clinical notes
Consider food elimination trial if food allergy suspected.,Ear Infections,Clinical Notes,consider food elimination trial if food allergy suspected ear infections clinical notes
My kitten has developed scabs behind her ears.,Skin Irritations,Owner Observation,my kitten has developed scabs behind her ears skin irritations owner observation
Prescribe short course of prednisone for severe inflammation.,Skin Irritations,Clinical Notes,prescribe short course of prednisone for severe inflammation skin irritations clinical notes
"Horner's syndrome (miosis, ptosis, enophthalmos, prolapsed nictitans) present ipsilateral to otitis media.",Ear Infections,Clinical Notes,horners syndrome miosis ptosis enophthalmos prolapsed nictitans present ipsilateral to otitis media ear infections clinical notes
My dog's limp seems to disappear during intense play but returns afterward.,Mobility Problems,Owner Observation,my dogs limp seems to disappear during intense play but returns afterward mobility problems owner observation
My puppy came from a litter where several pups had ear mites.,Ear Infections,Owner Observation,my puppy came from a litter where several pups had ear mites ear infections owner observation
"My cat has small, millet-seed like scabs all over its body.",Skin Irritations,Owner Observation,my cat has small milletseed like scabs all over its body skin irritations owner observation
My rabbit has sores on its hocks from sitting abnormally.,Mobility Problems,Owner Observation,my rabbit has sores on its hocks from sitting abnormally mobility problems owner observation
My dog tested positive for Ehrlichiosis on his annual screen.,Parasites,Owner Observation,my dog tested positive for ehrlichiosis on his annual screen parasites owner observation
Advise feeding multiple small meals per day instead of one or two large meals.,Digestive Issues,Clinical Notes,advise feeding multiple small meals per day instead of one or two large meals digestive issues clinical notes
"Dog has whipworms according to the vet, needs specific dewormer.",Parasites,Owner Observation,dog has whipworms according to the vet needs specific dewormer parasites owner observation
Rule out foreign body obstruction; recommend abdominal ultrasound.,Digestive Issues,Clinical Notes,rule out foreign body obstruction recommend abdominal ultrasound digestive issues clinical notes
Otitis externa (AU - both ears) noted; moderate erythema and ceruminous discharge.,Ear Infections,Clinical Notes,otitis externa au both ears noted moderate erythema and ceruminous discharge ear infections clinical notes
Guinea pig has soft droppings sticking to its rear end.,Digestive Issues,Owner Observation,guinea pig has soft droppings sticking to its rear end digestive issues owner observation
Prescribe short course of oral corticosteroids (prednisone) for severe inflammation/pruritus.,Skin Irritations,Clinical Notes,prescribe short course of oral corticosteroids prednisone for severe inflammationpruritus skin irritations clinical notes
My dog sometimes skips for a step or two on his back leg while trotting.,Mobility Problems,Owner Observation,my dog sometimes skips for a step or two on his back leg while trotting mobility problems owner observation
Schedule follow-up fecal examination 3-4 weeks post-deworming.,Parasites,Clinical Notes,schedule followup fecal examination weeks postdeworming parasites clinical notes
Exocrine pancreatic insufficiency (EPI) confirmed by low TLI level. Prescribe pancreatic enzyme supplement.,Digestive Issues,Clinical Notes,exocrine pancreatic insufficiency epi confirmed by low tli level prescribe pancreatic enzyme supplement digestive issues clinical notes
"Instruct owner to monitor appetite, vomiting, fecal consistency, and activity level.",Digestive Issues,Clinical Notes,instruct owner to monitor appetite vomiting fecal consistency and activity level digestive issues clinical notes
Dog’s ears are tender and smell like yeast.,Ear Infections,Owner Observation,dog’s ears are tender and smell like yeast ear infections owner observation
My dog has a rash on his belly that looks like insect bites.,Skin Irritations,Owner Observation,my dog has a rash on his belly that looks like insect bites skin irritations owner observation
Tritrichomonas foetus testing recommended for chronic feline diarrhea.,Digestive Issues,Clinical Notes,tritrichomonas foetus testing recommended for chronic feline diarrhea digestive issues clinical notes
My rabbit is pressing its abdomen on the floor.,Digestive Issues,Owner Observation,my rabbit is pressing its abdomen on the floor digestive issues owner observation
Fecal centrifugation with zinc sulfate solution used for optimal parasite egg recovery.,Parasites,Clinical Notes,fecal centrifugation with zinc sulfate solution used for optimal parasite egg recovery parasites clinical notes
Consider environmental allergy testing (serum or intradermal).,Skin Irritations,Clinical Notes,consider environmental allergy testing serum or intradermal skin irritations clinical notes
Provide structured plan for gradual increase in activity following healing period.,Mobility Problems,Clinical Notes,provide structured plan for gradual increase in activity following healing period mobility problems clinical notes
"Treat Otodectes with topical acaricide (e.g., Acarexx) or systemic isoxazoline. Ensure all contact animals treated.",Ear Infections,Clinical Notes,treat otodectes with topical acaricide eg acarexx or systemic isoxazoline ensure all contact animals treated ear infections clinical notes
My dog slipped on the floor and has been limping since.,Mobility Problems,Owner Observation,my dog slipped on the floor and has been limping since mobility problems owner observation
Consider stress as a trigger for colitis; advise environmental enrichment/behavior modification.,Digestive Issues,Clinical Notes,consider stress as a trigger for colitis advise environmental enrichmentbehavior modification digestive issues clinical notes
Rabbit seems generally weak and floppy.,Mobility Problems,Owner Observation,rabbit seems generally weak and floppy mobility problems owner observation
"Congenital portosystemic shunt suspected in young dog with poor growth, neuro signs after eating, urate crystalluria.",Digestive Issues,Clinical Notes,congenital portosystemic shunt suspected in young dog with poor growth neuro signs after eating urate crystalluria digestive issues clinical notes
"Consider autoimmune differentials if lesions also present on nasal planum, footpads, or mucocutaneous junctions.",Ear Infections,Clinical Notes,consider autoimmune differentials if lesions also present on nasal planum footpads or mucocutaneous junctions ear infections clinical notes
Fracture identified on radiograph; stabilize and discuss repair options.,Mobility Problems,Clinical Notes,fracture identified on radiograph stabilize and discuss repair options mobility problems clinical notes
